name,lat,lng, imp
Karsholms skog – Backen,56.17077,14.21201,
Parking – Röetved,56.1543,14.25456,
Karsholms skog – Stjärntetraeder,56.1540208,14.2528589,
Karsholms skog – Dunder och Brak,56.153726,14.251859,
Parking – Sohallen,56.1409536,14.2584443,
Karsholms skog – Sohallen,56.14448,14.2400299999999,
Karsholms skog – Trauma,56.144474,14.272147,
Karsholms skog – Korridoren,56.145476,14.26813,
Parking 1 – Stora Taket,56.21128,14.37424,
Parking 2 – Stora Taket,56.20674,14.37733,
Stora Taket – Wallstreet,56.20909,14.37262,
Stora Taket,56.20717,14.37284,1
Parking – Den ovisses sten,56.20351,14.3835799999999,
Stora Taket – Den ovisses sten,56.20299,14.38377,
Parking – Vångaberget,56.184337,14.355584,
Vånga – Vångaberget,56.183501,14.355193,
Parking – Vånga Blob,56.17525,14.3961899999999,
Vånga – Vånga Blob,56.17573,14.39428,
Vånga – Blocksamling,56.17587,14.39183,
Parking – Grovhet,56.1767298,14.401309,
Vånga – Grovhet,56.1767,14.40156,
Parking – VaranTV,56.181051,14.404216,
Vånga – VaranTV,56.181279,14.405454,
Parking – Stora Ord,56.18209,14.40802,
Vånga – Stora Ord,56.18277,14.40763,
Parking – En sång till skogen,56.18423,14.4042899999999,
Vånga – En sång till skogen,56.18412,14.4053,
Vånga – Krönet,56.184411,14.401797,
Parking – Odödlig,56.18729,14.40083,
Vånga – Odödlig,56.18669,14.40155,
Parking – Slumpen härskar,56.19057,14.40113,
Vånga – Slumpen härskar,56.19005,14.40102,
Parking – Amor fati,56.192803,14.409422,
Vånga – Amor fati,56.193183,14.410032,
Parking – Vånga Komplexet,56.1966005,14.4026903,
Vånga – Vånga Komplexet,56.19675,14.4026200000001,
Parking – Lilla Kaoset,56.1669,14.4027599999999,
Vånga – Lilla Kaoset,56.16453,14.40313,
Parking – One in a million,56.15518,14.42596,
Vånga – One in a million,56.15541,14.42809,
Parking – Roadside attraction,56.16028,14.43814,
Vånga – Roadside attraction,56.15928,14.4375199999999,
Parking – Strandstenen,56.14996,14.4592700000001,
Strandstenen,56.14958,14.45948,
Parking – Atlas,56.18204,14.4872800000001,
Västanå – Bolsjefabrikken,56.183189, 14.486599,
Västanå – DJ Ålen,56.18082,14.48601,
Västanå – Atlas,56.18257,14.48621,1
Parking – Ryska blocken,56.185904,14.487095,
Västanå – Lilla överhänget,56.18594,14.480051,
Västanå – Ryska blocken,56.187337,14.475912,1
Västanå – John Galt,56.18952,14.474791,
Västanå – Korpens klagorop,56.192669,14.470383,
Parking – Yoyo,56.19313,14.48032,
Västanå – Yoyo,56.19325,14.4798900000001,
Parking – Eremit,56.195751,14.477463,
Västanå – Eremit,56.196399,14.48055,
Parking – Northern blocs,56.197912,14.471578,
Västanå – Våta väggen,56.1959,14.47279,
Västanå – Argus,56.194705,14.472951,
Västanå – Skogssjälen,56.196182,14.469156,
Västanå – Röde Orm,56.197142, 14.468566,
